Site,latitude,longitude
AT-Neu,47.11667,11.3175
BE-Bra,51.30917,4.52056
BE-Lon,50.55159,4.74613
BE-Vie,50.30507,5.99805
CH-Cha,47.21022,8.41044
CH-Dav,46.81533,9.85592
CH-Fru,47.11583,8.53778
CH-Oe1,47.28583,7.73194
CZ-wet,49.02465,14.77035
DE-Geb,51.1001,10.9143
DE-Gri,50.94947,13.51253
DE-Hai,51.07917,10.453
DE-Kli,50.89306,13.52238
DE-Obe,50.78666,13.72129
DE-Tha,50.96361,13.56694
DE-Wet,50.4535,11.45753
DK-Sor,55.48587,11.64464
DK-ZaH,74.4732,-20.5503
ES-ES1,39.34597,-0.31881
FI-Hyy,61.8475,24.295
FI-Sod,67.36186,26.63783
FR-Fon,48.4764,2.78014
FR-Gri,48.84422,1.95191
FR-Hes,48.67416,7.06556
FR-LBr,44.71711,-0.7693
FR-Pue,43.74139,3.59583
HU-Bug,46.6911,19.6013
IE-Dri,51.98669,-8.75181
IT-Amp,41.9041,13.60516
IT-Col,41.84936,13.58814
IT-Cpz,41.70525,12.37611
IT-Lav,45.9562,11.28132
IT-MBo,46.01468,11.04583
IT-Noe,40.60618,8.15169
IT-Ren,46.58686,11.43369
IT-Ro1,42.40812,11.93001
IT-Ro2,42.39026,11.92093
IT-SRo,43.72786,10.28444
NL-Ca1,51.971,4.927
NL-Hor,52.24035,5.0713
NL-Loo,52.16658,5.74356
PT-Esp,38.6394,-8.6018
RU-Fyo,56.46153,32.92208
SE-Deg,64.18197,19.55654
